title,track_id,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Wanna Be That Song,1XazlqB4YAtvouCmJPWXlM,Brett Eldredge,0.518,0.686,9,-4.911,1,0.0313,0.114,0.0,0.114,0.334,144.065,audio_features,spotify:track:1XazlqB4YAtvouCmJPWXlM,https://api.spotify.com/v1/tracks/1XazlqB4YAtvouCmJPWXlM,https://api.spotify.com/v1/audio-analysis/1XazlqB4YAtvouCmJPWXlM,236227,4
H.O.L.Y.,19PJf5HzeiVW0mdk82Swmn,Florida Georgia Line,0.526,0.661,7,-3.828,0,0.0333,0.361,0.0,0.087,0.556,78.132,audio_features,spotify:track:19PJf5HzeiVW0mdk82Swmn,https://api.spotify.com/v1/tracks/19PJf5HzeiVW0mdk82Swmn,https://api.spotify.com/v1/audio-analysis/19PJf5HzeiVW0mdk82Swmn,196960,4
Drink to That All Night,3M31S6f0z8S3nkFh3eS06W,Jerrod Niemann,0.639,0.846,9,-6.184,0,0.0439,0.0325,0.0,0.116,0.475,115.965,audio_features,spotify:track:3M31S6f0z8S3nkFh3eS06W,https://api.spotify.com/v1/tracks/3M31S6f0z8S3nkFh3eS06W,https://api.spotify.com/v1/audio-analysis/3M31S6f0z8S3nkFh3eS06W,224813,4
Head Over Boots,1R9FxlRkvKtt36dtTHs93X,Jon Pardi,0.637,0.669,7,-4.608,1,0.0237,0.0919,0.0,0.103,0.638,108.078,audio_features,spotify:track:1R9FxlRkvKtt36dtTHs93X,https://api.spotify.com/v1/tracks/1R9FxlRkvKtt36dtTHs93X,https://api.spotify.com/v1/audio-analysis/1R9FxlRkvKtt36dtTHs93X,205120,4
Bottoms Up,477pWnF7WFWb9Qs6g8rs4J,Brantley Gilbert,0.476,0.857,7,-5.733,1,0.0432,0.113,0.0,0.135,0.543,169.975,audio_features,spotify:track:477pWnF7WFWb9Qs6g8rs4J,https://api.spotify.com/v1/tracks/477pWnF7WFWb9Qs6g8rs4J,https://api.spotify.com/v1/audio-analysis/477pWnF7WFWb9Qs6g8rs4J,220200,4
Make You Miss Me,0xwPzLmBAYro8BUz7MrtAo,Sam Hunt,0.614,0.472,7,-6.626,1,0.0297,0.158,0.0,0.111,0.168,146.005,audio_features,spotify:track:0xwPzLmBAYro8BUz7MrtAo,https://api.spotify.com/v1/tracks/0xwPzLmBAYro8BUz7MrtAo,https://api.spotify.com/v1/audio-analysis/0xwPzLmBAYro8BUz7MrtAo,225693,4
May We All,498ZVInMGDkmmNVpSWqHiZ,Florida Georgia Line,0.514,0.918,7,-4.306,1,0.0365,0.0409,0.0,0.342,0.64,150.033,audio_features,spotify:track:498ZVInMGDkmmNVpSWqHiZ,https://api.spotify.com/v1/tracks/498ZVInMGDkmmNVpSWqHiZ,https://api.spotify.com/v1/audio-analysis/498ZVInMGDkmmNVpSWqHiZ,226173,4
Night's On Fire,0a3KWFyJEaOBOGKjTGOoN8,David Nail,0.539,0.779,4,-4.139,1,0.0432,0.247,2.71e-06,0.386,0.705,164.029,audio_features,spotify:track:0a3KWFyJEaOBOGKjTGOoN8,https://api.spotify.com/v1/tracks/0a3KWFyJEaOBOGKjTGOoN8,https://api.spotify.com/v1/audio-analysis/0a3KWFyJEaOBOGKjTGOoN8,189507,4
Backroad Song,5ix3mPn7JFsKTVoidu6dBw,Granger Smith,0.488,0.833,11,-6.571,1,0.0437,0.0352,0.0172,0.34,0.751,174.006,audio_features,spotify:track:5ix3mPn7JFsKTVoidu6dBw,https://api.spotify.com/v1/tracks/5ix3mPn7JFsKTVoidu6dBw,https://api.spotify.com/v1/audio-analysis/5ix3mPn7JFsKTVoidu6dBw,236787,4
Break Up In A Small Town,7aftSOGSOpSoIlVAQVBb71,Sam Hunt,0.579,0.776,8,-5.365,1,0.173,0.0749,0.0,0.239,0.434,136.044,audio_features,spotify:track:7aftSOGSOpSoIlVAQVBb71,https://api.spotify.com/v1/tracks/7aftSOGSOpSoIlVAQVBb71,https://api.spotify.com/v1/audio-analysis/7aftSOGSOpSoIlVAQVBb71,229880,4
This Is How We Roll,2TR7A4ulH9R1PNwMyd8o8U,Florida Georgia Line,0.555,0.931,8,-2.969,1,0.0367,0.016,0.0,0.405,0.723,132.085,audio_features,spotify:track:2TR7A4ulH9R1PNwMyd8o8U,https://api.spotify.com/v1/tracks/2TR7A4ulH9R1PNwMyd8o8U,https://api.spotify.com/v1/audio-analysis/2TR7A4ulH9R1PNwMyd8o8U,220907,4
Craving You,6zLdXcmvIxnAXpz9sXFnIE,Thomas Rhett,0.612,0.841,9,-3.795,0,0.0353,0.000907,0.0,0.37,0.499,104.986,audio_features,spotify:track:6zLdXcmvIxnAXpz9sXFnIE,https://api.spotify.com/v1/tracks/6zLdXcmvIxnAXpz9sXFnIE,https://api.spotify.com/v1/audio-analysis/6zLdXcmvIxnAXpz9sXFnIE,227373,4
